model,accuracy,precision,recall,macro_f1,balanced_accuracy,transformation,privacy_mode,privacy_intensity,run_name,best_epoch,epochs,batch_size,image_size,num_workers,metrics_path,checkpoint_path
swin_t,0.9536614645858345,0.9537062710352578,0.9536614645858345,0.9534711458498988,0.9536614645858345,baseline_clean,none,0.0,swin_t_none_0p0_nw4,9,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_nw4_best.pt
resnet18,0.9527010804321728,0.9532006544098378,0.9527010804321728,0.9526710566429388,0.9527010804321728,baseline_clean,none,0.0,resnet18_none_0p0_cnn_baseline,8,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_cnn_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_cnn_baseline_best.pt
vit_b_16,0.945498199279712,0.947147257612852,0.945498199279712,0.9454846627978668,0.945498199279712,baseline_clean,none,0.0,vit_b_16_none_0p0_vit_baseline,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_vit_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_vit_baseline_best.pt
mobilenet_v3_large,0.9337334933973588,0.9342808061988206,0.9337334933973588,0.9333493866661868,0.9337334933973588,baseline_clean,none,0.0,mobilenet_v3_large_none_0p0_cnn_baseline,9,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\mobilenet_v3_large_none_0p0_cnn_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\mobilenet_v3_large_none_0p0_cnn_baseline_best.pt
resnet18,0.9464585834333732,0.946513907987778,0.9464585834333732,0.9460419245277442,0.9464585834333732,blur,blur,3.0,resnet18_blur_3p0_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_fixed_deid_best.pt
swin_t,0.9366146458583432,0.9379163788512352,0.9366146458583432,0.9365854228434464,0.9366146458583432,blur,blur,3.0,swin_t_blur_3p0_fixed_deid,8,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_blur_3p0_fixed_deid_best.pt
vit_b_16,0.9135654261704682,0.9156724942941504,0.9135654261704682,0.9137510308000124,0.9135654261704682,blur,blur,3.0,vit_b_16_blur_3p0_fixed_deid,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_blur_3p0_fixed_deid_best.pt
resnet18,0.8343337334933973,0.8432422590604908,0.8343337334933975,0.8341718086862671,0.8343337334933975,canny,edges,0.0,resnet18_edges_0p0_tradeoff_edges_0p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_edges_0p0_tradeoff_edges_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_edges_0p0_tradeoff_edges_0p0_nw4_best.pt
resnet18,0.956062424969988,0.9562860965733608,0.9560624249699882,0.9561063738139765,0.9560624249699882,crop_context_removal,crop,0.75,resnet18_crop_0p75_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_fixed_deid_best.pt
swin_t,0.9529411764705882,0.9526185384219537,0.9529411764705884,0.9526769339929374,0.9529411764705884,crop_context_removal,crop,0.75,swin_t_crop_0p75_fixed_deid,8,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_crop_0p75_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_crop_0p75_fixed_deid_best.pt
vit_b_16,0.9418967587034814,0.9435642255483824,0.9418967587034814,0.9419709297654248,0.9418967587034814,crop_context_removal,crop,0.75,vit_b_16_crop_0p75_fixed_deid,6,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_crop_0p75_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_crop_0p75_fixed_deid_best.pt
resnet18,0.8472989195678271,0.8482247789580272,0.8472989195678272,0.8470778312941265,0.8472989195678272,mosaic,mosaic,8.0,resnet18_mosaic_8p0_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_8p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_8p0_fixed_deid_best.pt
swin_t,0.8408163265306122,0.843340930411413,0.8408163265306123,0.8402409053888007,0.8408163265306123,mosaic,mosaic,8.0,swin_t_mosaic_8p0_fixed_deid,10,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_mosaic_8p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_mosaic_8p0_fixed_deid_best.pt
vit_b_16,0.7968787515006003,0.7983298637540069,0.7968787515006003,0.79650926747995,0.7968787515006003,mosaic,mosaic,8.0,vit_b_16_mosaic_8p0_fixed_deid,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_mosaic_8p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_mosaic_8p0_fixed_deid_best.pt
resnet18,0.8156062424969988,0.8157999339398521,0.815606242496999,0.8133744114102079,0.815606242496999,noise,noise,50.0,resnet18_noise_50p0_tradeoff_noise_50p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_noise_50p0_tradeoff_noise_50p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_noise_50p0_tradeoff_noise_50p0_nw4_best.pt
