model,accuracy,precision,recall,macro_f1,balanced_accuracy,transformation,privacy_mode,privacy_intensity,run_name,best_epoch,epochs,batch_size,image_size,num_workers,metrics_path,checkpoint_path
mobilenet_v3_large,0.9337334933973589,0.9342808061988206,0.9337334933973589,0.9333493866661869,0.9337334933973589,baseline_clean,none,0.0,mobilenet_v3_large_none_0p0_cnn_baseline,9,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\mobilenet_v3_large_none_0p0_cnn_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\mobilenet_v3_large_none_0p0_cnn_baseline_best.pt
resnet18,0.9620648259303721,0.9620794736987793,0.9620648259303722,0.9620343470951813,0.9620648259303722,baseline_clean,none,0.0,resnet18_none_0p0_light_ft_resnet,11,12,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_light_ft_resnet_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_light_ft_resnet_best.pt
resnet18,0.9527010804321728,0.9532006544098378,0.9527010804321729,0.9526710566429388,0.9527010804321729,baseline_clean,none,0.0,resnet18_none_0p0_cnn_baseline,8,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_cnn_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_cnn_baseline_best.pt
resnet18,0.9430972388955582,0.9430640586168436,0.9430972388955582,0.9426025369612375,0.9430972388955582,baseline_clean,none,0.0,resnet18_none_0p0_tradeoff_none_0p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_tradeoff_none_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_tradeoff_none_0p0_nw4_best.pt
swin_t,0.9620648259303721,0.9621171846157273,0.9620648259303722,0.9619962639904652,0.9620648259303722,baseline_clean,none,0.0,swin_t_none_0p0_light_ft_swin,8,12,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_light_ft_swin_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_light_ft_swin_best.pt
swin_t,0.9536614645858343,0.9537062710352578,0.9536614645858345,0.9534711458498988,0.9536614645858345,baseline_clean,none,0.0,swin_t_none_0p0_nw4,9,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_nw4_best.pt
vit_b_16,0.9490996398559424,0.9491531159232595,0.9490996398559425,0.9489942385985835,0.9490996398559425,baseline_clean,none,0.0,vit_b_16_none_0p0_light_ft_vit,8,12,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_light_ft_vit_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_light_ft_vit_best.pt
vit_b_16,0.9454981992797119,0.9471472576128521,0.9454981992797119,0.9454846627978669,0.9454981992797119,baseline_clean,none,0.0,vit_b_16_none_0p0_vit_baseline,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_vit_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_vit_baseline_best.pt
resnet18,0.9464585834333733,0.946513907987778,0.9464585834333733,0.9460419245277442,0.9464585834333733,blur,blur,3.0,resnet18_blur_3p0_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_fixed_deid_best.pt
resnet18,0.9370948379351741,0.9383053771785003,0.937094837935174,0.9368008193926232,0.937094837935174,blur,blur,3.0,resnet18_blur_3p0_tradeoff_blur_3p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_tradeoff_blur_3p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_tradeoff_blur_3p0_nw4_best.pt
resnet18,0.92124849939976,0.9225170721125908,0.92124849939976,0.9215587835061452,0.92124849939976,blur,blur,3.0,resnet18_blur_3p0_proxy_sweep,3,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_proxy_sweep_best.pt
resnet18,0.9334933973589435,0.9331632525734123,0.9334933973589435,0.9330371548944694,0.9334933973589435,blur,blur,5.0,resnet18_blur_5p0_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_deid_best.pt
resnet18,0.9058823529411765,0.9068203011631703,0.9058823529411765,0.90524369126903,0.9058823529411765,blur,blur,5.0,resnet18_blur_5p0_tradeoff_blur_5p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_tradeoff_blur_5p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_tradeoff_blur_5p0_nw4_best.pt
resnet18,0.9013205282112845,0.9019625106755013,0.9013205282112845,0.9007104158798597,0.9013205282112845,blur,blur,5.0,resnet18_blur_5p0_proxy_sweep,4,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_proxy_sweep_best.pt
resnet18,0.8756302521008403,0.8768128373176307,0.8756302521008402,0.8735090024980308,0.8756302521008402,blur,blur,7.0,resnet18_blur_7p0_proxy_sweep,4,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_7p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_7p0_proxy_sweep_best.pt
resnet18,0.8888355342136854,0.8913935789861993,0.8888355342136853,0.8892169581297711,0.8888355342136853,blur,blur,9.0,resnet18_blur_9p0_tradeoff_blur_9p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_9p0_tradeoff_blur_9p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_9p0_tradeoff_blur_9p0_nw4_best.pt
swin_t,0.9366146458583433,0.9379163788512352,0.9366146458583433,0.9365854228434463,0.9366146458583433,blur,blur,3.0,swin_t_blur_3p0_fixed_deid,8,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_blur_3p0_fixed_deid_best.pt
