model,transformation,privacy_mode,privacy_intensity,accuracy,balanced_accuracy,precision,recall,macro_f1,weighted_f1,clean_baseline_macro_f1,macro_f1_drop_vs_clean,loss,run_name,best_epoch,epochs,batch_size,image_size,num_workers,metrics_path,checkpoint_path,summary_source
mobilenet_v3_large,baseline_clean,none,0.0,0.9337334933973588,0.9337334933973588,0.9342808061988206,0.9337334933973588,0.9333493866661868,0.9333493866661868,0.9333493866661868,0.0,0.2703542600802871,mobilenet_v3_large_none_0p0_cnn_baseline,9,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\mobilenet_v3_large_none_0p0_cnn_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\mobilenet_v3_large_none_0p0_cnn_baseline_best.pt,baseline_comparison.csv
resnet18,baseline_clean,none,0.0,0.9527010804321728,0.9527010804321728,0.9532006544098378,0.9527010804321728,0.9526710566429388,0.9526710566429388,0.9526710566429388,0.0,0.171218196140761,resnet18_none_0p0_cnn_baseline,8,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_cnn_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_cnn_baseline_best.pt,baseline_comparison.csv
swin_t,baseline_clean,none,0.0,0.9536614645858345,0.9536614645858345,0.9537062710352578,0.9536614645858345,0.9534711458498988,0.9534711458498988,0.9534711458498988,0.0,0.1643697503869481,swin_t_none_0p0_nw4,9,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_nw4_best.pt,baseline_comparison.csv
vit_b_16,baseline_clean,none,0.0,0.945498199279712,0.945498199279712,0.947147257612852,0.945498199279712,0.9454846627978668,0.945484662797867,0.9454846627978668,0.0,0.1887561101927047,vit_b_16_none_0p0_vit_baseline,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_vit_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_vit_baseline_best.pt,baseline_comparison.csv
resnet18,blur,blur,3.0,0.9464585834333732,0.9464585834333732,0.946513907987778,0.9464585834333732,0.9460419245277442,0.9460419245277442,0.9526710566429388,-0.006629132115194669,0.2029921574895176,resnet18_blur_3p0_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_fixed_deid_best.pt,deid_fixed_comparison.csv
swin_t,blur,blur,3.0,0.9366146458583432,0.9366146458583432,0.9379163788512352,0.9366146458583432,0.9365854228434464,0.9365854228434464,0.9534711458498988,-0.016885723006452413,0.2179307978078351,swin_t_blur_3p0_fixed_deid,8,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_blur_3p0_fixed_deid_best.pt,deid_fixed_comparison.csv
vit_b_16,blur,blur,3.0,0.9135654261704682,0.9135654261704682,0.9156724942941504,0.9135654261704682,0.9137510308000124,0.9137510308000124,0.9454846627978668,-0.031733631997854395,0.3035753464280423,vit_b_16_blur_3p0_fixed_deid,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_blur_3p0_fixed_deid_best.pt,deid_fixed_comparison.csv
resnet18,canny,edges,0.0,0.8343337334933973,0.8343337334933975,0.8432422590604908,0.8343337334933975,0.8341718086862671,0.8341718086862672,0.9526710566429388,-0.11849924795667177,0.530674847234197,resnet18_edges_0p0_tradeoff_edges_0p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_edges_0p0_tradeoff_edges_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_edges_0p0_tradeoff_edges_0p0_nw4_best.pt,metrics_dir_edges_noise
resnet18,crop_context_removal,crop,0.75,0.956062424969988,0.9560624249699882,0.9562860965733608,0.9560624249699882,0.9561063738139765,0.9561063738139762,0.9526710566429388,0.003435317171037622,0.1727352138487212,resnet18_crop_0p75_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_fixed_deid_best.pt,deid_fixed_comparison.csv
swin_t,crop_context_removal,crop,0.75,0.9529411764705882,0.9529411764705884,0.9526185384219537,0.9529411764705884,0.9526769339929374,0.9526769339929374,0.9534711458498988,-0.0007942118569613799,0.1659285375973282,swin_t_crop_0p75_fixed_deid,8,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_crop_0p75_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_crop_0p75_fixed_deid_best.pt,deid_fixed_comparison.csv
